Stocks;AccRet_20.csv;AccRet_5.csv;Accrual.csv;CapRate.csv;CapexSales.csv;CrescimentoHistoricoEBIT.csv;CrescimentoHistoricoEPS.csv;CrescimentoHistoricoSAL.csv;DividendPayout1Ano.csv;DividendYield.csv;EVAtivoTotal.csv;EVSales.csv;LogMarketCapital.csv;MACD.csv;MargemEBIT.csv;Mom10_40wk.csv;Mom5_30wk.csv;MoneyFlowVolume5.csv;PEG.csv;PrecoBookValue.csv;PrecoLucro.csv;PrecoVenda.csv;ROA.csv;ROE.csv;ROIC.csv;RSI_10.csv;RSI_14.csv;Slope_20.csv;Slope_50.csv;TendenciaCapexAtivoTotal.csv;TendenciaFixedChargeCover.csv;TendenciaIA.csv;TendenciaLeverage.csv;TendenciaMargemCFO.csv;TendenciaMargemEBIT.csv;TendenciaMargemEstoques.csv;TendenciaMargemLucro.csv;TendenciaMargemROA.csv;TendenciaMargemROE.csv;TendenciaMargemSGACOGSSales.csv;TendenciaMargemTurn.csv
ALPA4;-0.16698;-0.12578;1;0.08125;-0.12494;-0.050858;-0.002586;0.13978;-0.12193;-0.25154;-0.6138;-0.24402;-0.32877;-0.62334;0.083905;0.1134;-0.22695;0.51356;0.1682;-0.51166;0.17734;-0.40398;0.54375;0.24504;0.14111;0.084042;-0.27164;-0.35138;0.014605;1;-0.89916;;;;;;;;;;
ALSC3;0.071353;-0.66032;1;0.099362;NaN;0.092398;-0.094509;0.87758;0.13859;-0.29099;-0.29941;-0.84197;0.14316;-0.13966;0.27413;-0.37646;-0.50993;0.33924;0.16814;-0.2179;0.14521;-0.61877;-0.20395;-0.1876;1;-0.53211;-0.91485;0.081925;0.17039;-1;0.048582;0.18478;0.10315;0.77986;0.27413;0.67169;0.14176;0.14975;0.12833;0.28055;0.10935
ALUP11;-0.30792;-0.96803;0.52797;0.22658;-1;-0.10617;0.039249;-0.29227;-0.62349;-0.81384;-0.24989;-0.77259;0.014232;0.07631;0.10873;NaN;-0.19829;-0.20768;0.16837;0.36664;0.37778;-0.51006;0.37617;0.16309;0.38156;0.13503;0.12488;-0.0085005;-0.23068;0.11891;0.37592;;;;;;;;;;
AMAR3;1;0.76496;0.25087;0.096545;0.16979;-0.072775;0.015514;0.017675;-0.62349;-0.81384;-0.56249;0.069875;0.10658;-0.072325;-0.0029592;-0.82448;-0.70567;1;0.16821;-0.46444;0.18372;-0.20121;0.35865;0.20172;0.11119;-1;-1;0.59744;0.35324;0.58975;-0.43146;-0.055331;0.057988;0.44694;-0.0029592;0.26541;-0.01149;-0.55836;-0.43589;-0.2245;-0.21296
AMIL3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AMLC4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AMPI3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AMRI8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
ANIM3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
ANPB5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
ANTA4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
